step,time (s),temp (C),gain
89,Fri Apr 30 12:20:39 2021,29.932373290661605,0.006086171161167233
90,Fri Apr 30 12:20:40 2021,29.932373290661605,0.006086177247571074
91,Fri Apr 30 12:20:42 2021,29.932373290661605,0.006086183333974914
92,Fri Apr 30 12:20:43 2021,29.932373290661605,0.006086189420378755
93,Fri Apr 30 12:20:44 2021,29.932373290661605,0.006086195506782596
94,Fri Apr 30 12:20:45 2021,29.96624924813158,0
95,Fri Apr 30 12:20:46 2021,29.932373290661605,0.006086201593186435
96,Fri Apr 30 12:20:47 2021,29.932373290661605,0.006086207679590276
97,Fri Apr 30 12:20:48 2021,29.932373290661605,0.006086213765994115
98,Fri Apr 30 12:20:49 2021,29.932373290661605,0.006086219852397956
99,Fri Apr 30 12:20:50 2021,29.898497675353823,0.036574282764610715
100,Fri Apr 30 12:20:51 2021,29.898497675353823,0.009135043500516749
101,Fri Apr 30 12:20:53 2021,29.932373290661605,0
102,Fri Apr 30 12:20:54 2021,29.932373290661605,0
103,Fri Apr 30 12:20:55 2021,29.932373290661605,0
104,Fri Apr 30 12:20:56 2021,29.932373290661605,0
105,Fri Apr 30 12:20:57 2021,29.932373290661605,0
106,Fri Apr 30 12:20:58 2021,29.932373290661605,0
107,Fri Apr 30 12:20:59 2021,29.932373290661605,0
108,Fri Apr 30 12:21:00 2021,29.898497675353823,0.009135052635725966
109,Fri Apr 30 12:21:01 2021,29.932373290661605,0
110,Fri Apr 30 12:21:02 2021,29.898497675353823,0.009135061770935184
111,Fri Apr 30 12:21:03 2021,29.898497675353823,0.009135070906144401
112,Fri Apr 30 12:21:05 2021,29.932373290661605,0
113,Fri Apr 30 12:21:06 2021,29.898497675353823,0.00913508004135362
114,Fri Apr 30 12:21:07 2021,29.932373290661605,0
115,Fri Apr 30 12:21:08 2021,29.898497675353823,0.009135089176562838
116,Fri Apr 30 12:21:09 2021,29.898497675353823,0.009135098311772056
117,Fri Apr 30 12:21:10 2021,29.898497675353823,0.009135107446981273
118,Fri Apr 30 12:21:11 2021,29.932373290661605,0
119,Fri Apr 30 12:21:12 2021,29.898497675353823,0.009135116582190492
