step,time (s),temp (C),gain
0,Fri Apr 30 14:40:12 2021,22.724575907372596,1
1,Fri Apr 30 14:40:13 2021,22.724575907372596,0.654789477912803
2,Fri Apr 30 14:40:14 2021,22.724575907372596,0.6547901327009713
3,Fri Apr 30 14:40:15 2021,22.724575907372596,0.6547907874891397
4,Fri Apr 30 14:40:16 2021,22.758379217617108,0.6243684600149496
5,Fri Apr 30 14:40:17 2021,22.758379217617108,0.6517497930588744
6,Fri Apr 30 14:40:18 2021,22.758379217617108,0.6517504448047449
7,Fri Apr 30 14:40:19 2021,22.758379217617108,0.6517510965506152
8,Fri Apr 30 14:40:20 2021,22.724575907372596,0.6821747305588441
9,Fri Apr 30 14:40:21 2021,22.724575907372596,0.654794704048958
10,Fri Apr 30 14:40:22 2021,22.758379217617108,0.6243723765747679
11,Fri Apr 30 14:40:23 2021,22.724575907372596,0.6821766918810511
12,Fri Apr 30 14:40:25 2021,22.758379217617108,0.6243736831088067
13,Fri Apr 30 14:40:26 2021,22.758379217617108,0.6517550161527316
14,Fri Apr 30 14:40:27 2021,22.79218286783738,0.6213323796580292
15,Fri Apr 30 14:40:28 2021,22.758379217617108,0.6791372732805635
16,Fri Apr 30 14:40:29 2021,22.79218286783738,0.6213336801074416
17,Fri Apr 30 14:40:30 2021,22.825986858042803,0.6182916912621624
18,Fri Apr 30 14:40:31 2021,22.825986858042803,0.6456735689897387
19,Fri Apr 30 14:40:32 2021,22.859791188245016,0.6152503144265408
20,Fri Apr 30 14:40:33 2021,22.859791188245016,0.6426324645091257
21,Fri Apr 30 14:40:34 2021,22.859791188245016,0.6426331071279188
22,Fri Apr 30 14:40:35 2021,22.927400868678106,0.5817850312720593
23,Fri Apr 30 14:40:36 2021,22.927400868678106,0.6365495089567843
24,Fri Apr 30 14:40:38 2021,22.96120621892964,0.6061253272218443
25,Fri Apr 30 14:40:39 2021,22.96120621892964,0.6335082944170268
26,Fri Apr 30 14:40:40 2021,22.995011909218512,0.6030838036059699
27,Fri Apr 30 14:40:41 2021,23.028817939554866,0.6000416128436232
28,Fri Apr 30 14:40:42 2021,23.062624309948838,0.5969993884253076
29,Fri Apr 30 14:40:43 2021,23.096431020410563,0.5939571303500801
30,Fri Apr 30 14:40:44 2021,23.130238070950185,0.5909148386169917
31,Fri Apr 30 14:40:45 2021,23.16404546157896,0.5878725132240946
32,Fri Apr 30 14:40:46 2021,23.16404546157896,0.6152571148693122
33,Fri Apr 30 14:40:47 2021,23.231661263142293,0.5544035026128005
34,Fri Apr 30 14:40:48 2021,23.265469674097123,0.5787453381274813
35,Fri Apr 30 14:40:49 2021,23.333087516406795,0.5452746929443113
36,Fri Apr 30 14:40:51 2021,23.333087516406795,0.6000457452372698
37,Fri Apr 30 14:40:52 2021,23.366896947781544,0.5696178539792704
38,Fri Apr 30 14:40:53 2021,23.43451683102155,0.5361461893702969
39,Fri Apr 30 14:40:54 2021,23.468327282907836,0.5604894759475894
40,Fri Apr 30 14:40:55 2021,23.502138074985034,0.5574468139135762
41,Fri Apr 30 14:40:56 2021,23.569760679754225,0.5239737899253729
42,Fri Apr 30 14:40:57 2021,23.603572492466494,0.5483180440258513
43,Fri Apr 30 14:40:58 2021,23.63738464541098,0.5452752473081348
44,Fri Apr 30 14:40:59 2021,23.671197138597822,0.5422324169172659
45,Fri Apr 30 14:41:00 2021,23.73882314574024,0.5087576934763491
46,Fri Apr 30 14:41:01 2021,23.772636659716103,0.5331031571461338
47,Fri Apr 30 14:41:02 2021,23.84026470852855,0.49962741391155413
48,Fri Apr 30 14:41:03 2021,23.907894118557486,0.4935402127131248
49,Fri Apr 30 14:41:05 2021,23.941709334053762,0.5178868861360744
50,Fri Apr 30 14:41:06 2021,23.975524889885136,0.5148437526425805
51,Fri Apr 30 14:41:07 2021,24.009340786061372,0.5118005854667106
52,Fri Apr 30 14:41:08 2021,24.076973599490856,0.47832246235530274
53,Fri Apr 30 14:41:09 2021,24.144607774424067,0.47223481077859475
54,Fri Apr 30 14:41:10 2021,24.178425372480806,0.49658317816514685
55,Fri Apr 30 14:41:11 2021,24.212243310943986,0.4935398088723456
56,Fri Apr 30 14:41:12 2021,24.27988020913247,0.4600596454686655
57,Fri Apr 30 14:41:13 2021,24.313699168877676,0.4844089809977297
58,Fri Apr 30 14:41:14 2021,24.415158090843303,0.42048981125805324
59,Fri Apr 30 14:41:15 2021,24.448978412442557,0.4722337482028247
60,Fri Apr 30 14:41:16 2021,24.448978412442557,0.4996287082901636
61,Fri Apr 30 14:41:18 2021,24.550441420215904,0.40831249175442336
62,Fri Apr 30 14:41:19 2021,24.584263103833297,0.46005850021150113
63,Fri Apr 30 14:41:20 2021,24.651907492668894,0.42657459531787884
64,Fri Apr 30 14:41:21 2021,24.685730197907745,0.45092659384402795
65,Fri Apr 30 14:41:22 2021,24.753376630079007,0.41744166832946467
66,Fri Apr 30 14:41:23 2021,24.821024424577047,0.41135272944775303
67,Fri Apr 30 14:41:24 2021,24.854848832724475,0.4357059387220852
68,Fri Apr 30 14:41:25 2021,24.888673581484102,0.4326618954572145
69,Fri Apr 30 14:41:26 2021,24.956324100882778,0.39917492842453584
70,Fri Apr 30 14:41:27 2021,25.023975982854925,0.3930856032046927
71,Fri Apr 30 14:41:28 2021,25.05780243483177,0.4174402656207505
72,Fri Apr 30 14:41:29 2021,25.12545636081883,0.38395159704257015
73,Fri Apr 30 14:41:31 2021,25.159283834849315,0.40830698612910693
74,Fri Apr 30 14:41:32 2021,25.22693980503677,0.3748172965005067
