step,time (s),temp (C),gain
0,Fri Apr 30 15:56:20 2021,25.497577315639607,1
1,Fri Apr 30 15:56:21 2021,25.497577315639607,0.4052188520285186
2,Fri Apr 30 15:56:22 2021,25.497577315639607,0.4052192572465602
3,Fri Apr 30 15:56:23 2021,25.497577315639607,0.4052196624646018
4,Fri Apr 30 15:56:24 2021,25.497577315639607,0.4052200676826433
5,Fri Apr 30 15:56:25 2021,25.497577315639607,0.4052204729006849
6,Fri Apr 30 15:56:26 2021,25.497577315639607,0.40522087811872654
7,Fri Apr 30 15:56:28 2021,25.531408537993745,0.37477318017323397
8,Fri Apr 30 15:56:29 2021,25.497577315639607,0.4326249756168514
9,Fri Apr 30 15:56:30 2021,25.531408537993745,0.3747739875645072
10,Fri Apr 30 15:56:31 2021,25.497577315639607,0.43262578300812465
11,Fri Apr 30 15:56:32 2021,25.531408537993745,0.3747747949557803
12,Fri Apr 30 15:56:33 2021,25.531408537993745,0.40217848723586364
13,Fri Apr 30 15:56:34 2021,25.531408537993745,0.40217888940909524
14,Fri Apr 30 15:56:35 2021,25.531408537993745,0.4021792915823268
15,Fri Apr 30 15:56:36 2021,25.56524010116622,0.3717312838554886
16,Fri Apr 30 15:56:37 2021,25.56524010116622,0.39913524915358567
17,Fri Apr 30 15:56:38 2021,25.56524010116622,0.3991356482819766
18,Fri Apr 30 15:56:39 2021,25.56524010116622,0.3991360474103675
19,Fri Apr 30 15:56:41 2021,25.599072005167184,0.36868772989302095
20,Fri Apr 30 15:56:42 2021,25.599072005167184,0.3960919682173199
21,Fri Apr 30 15:56:43 2021,25.599072005167184,0.3960923643008395
22,Fri Apr 30 15:56:44 2021,25.599072005167184,0.396092760384359
23,Fri Apr 30 15:56:45 2021,25.632904250007513,0.3656441330666798
24,Fri Apr 30 15:56:46 2021,25.666736835696977,0.3625993142605145
25,Fri Apr 30 15:56:47 2021,25.666736835696977,0.39000409866266467
26,Fri Apr 30 15:56:48 2021,25.666736835696977,0.39000448865634946
27,Fri Apr 30 15:56:49 2021,25.700569762246086,0.35955524171087216
28,Fri Apr 30 15:56:50 2021,25.700569762246086,0.3869602991643724
29,Fri Apr 30 15:56:51 2021,25.734403029665355,0.35651074239075803
30,Fri Apr 30 15:56:52 2021,25.734403029665355,0.3839160729040929
31,Fri Apr 30 15:56:54 2021,25.768236637964918,0.35346620629318865
32,Fri Apr 30 15:56:55 2021,25.768236637964918,0.3808718098745374
33,Fri Apr 30 15:56:56 2021,25.83590487724549,0.319970769290584
34,Fri Apr 30 15:56:57 2021,25.80207058715492,0.4052332820030079
35,Fri Apr 30 15:56:58 2021,25.869739508247527,0.3169258497697427
36,Fri Apr 30 15:56:59 2021,25.903574480171162,0.3412865698017799
37,Fri Apr 30 15:57:00 2021,25.903574480171162,0.3686932657382215
38,Fri Apr 30 15:57:01 2021,25.903574480171162,0.3686936344165182
39,Fri Apr 30 15:57:02 2021,25.971245446823787,0.30779012701706615
40,Fri Apr 30 15:57:03 2021,25.971245446823787,0.3626039725936016
41,Fri Apr 30 15:57:04 2021,26.005081441573424,0.33215193686159844
42,Fri Apr 30 15:57:05 2021,26.038917777285967,0.3291067469649158
43,Fri Apr 30 15:57:06 2021,26.038917777285967,0.35651453538947575
44,Fri Apr 30 15:57:08 2021,26.072754453971175,0.32606187982488744
45,Fri Apr 30 15:57:09 2021,26.10659147164031,0.3230166224444517
46,Fri Apr 30 15:57:10 2021,26.140428830302767,0.3199713313216461
47,Fri Apr 30 15:57:11 2021,26.174266529968676,0.31692600645492963
48,Fri Apr 30 15:57:12 2021,26.20810457064968,0.31388064784200065
49,Fri Apr 30 15:57:13 2021,26.241942952354794,0.31083525548414687
50,Fri Apr 30 15:57:14 2021,26.241942952354794,0.33824468289042275
51,Fri Apr 30 15:57:15 2021,26.275781675094525,0.3077901676043145
52,Fri Apr 30 15:57:16 2021,26.275781675094525,0.3351998682031455
53,Fri Apr 30 15:57:17 2021,26.34346014372065,0.27428957552821814
54,Fri Apr 30 15:57:18 2021,26.34346014372065,0.3291094642039682
55,Fri Apr 30 15:57:19 2021,26.377299889626947,0.29865401893131227
56,Fri Apr 30 15:57:21 2021,26.411139976609544,0.29560845782847656
57,Fri Apr 30 15:57:22 2021,26.444980404678574,0.29256286297401607
58,Fri Apr 30 15:57:23 2021,26.478821173844555,0.2895172343666428
59,Fri Apr 30 15:57:24 2021,26.51266228411725,0.28647157200605444
60,Fri Apr 30 15:57:25 2021,26.51266228411725,0.31388318518733305
61,Fri Apr 30 15:57:26 2021,26.546503735507546,0.28342618975073164
62,Fri Apr 30 15:57:27 2021,26.614187661681115,0.249922536543769
63,Fri Apr 30 15:57:28 2021,26.648030136485417,0.2742885910977751
64,Fri Apr 30 15:57:29 2021,26.68187295244825,0.27124275995414604
65,Fri Apr 30 15:57:30 2021,26.68187295244825,0.29865573951547386
66,Fri Apr 30 15:57:31 2021,26.71571610958012,0.26819719368233835
67,Fri Apr 30 15:57:32 2021,26.749559607891175,0.26515129501884227
68,Fri Apr 30 15:57:34 2021,26.783403447391922,0.2621053625938131
69,Fri Apr 30 15:57:35 2021,26.817247628092503,0.2590593964066098
70,Fri Apr 30 15:57:36 2021,26.851092150003428,0.25601339645595333
71,Fri Apr 30 15:57:37 2021,26.884937013134834,0.25296736274120574
72,Fri Apr 30 15:57:38 2021,26.918782217497238,0.2499212952610821
73,Fri Apr 30 15:57:39 2021,26.95262776310078,0.24687519401494404
74,Fri Apr 30 15:57:40 2021,26.986473649955588,0.24382905900185475
